AT,Category,Setting Name,Value Type/Range,Description,
ZoomText - Screen Reading Features,Speech Settings,Text Processing - Speak punctuation according to synthesizer settings,,Punctuation characters are spoken according to the synthesizer's built in settings.,
ZoomText - Screen Reading Features,Speech Settings,Hints - No hints for capitals,,No hint is applied when a capital letter is read.,
ZoomText - Screen Reading Features,Speech Settings,Hints - Change pitch when reading a capital,,The synthesizer pitch is changed when a capital letter is read.,
ZoomText - Screen Reading Features,Speech Settings,"Hints - Say ""Cap"" before reading a capital",,"The word ""cap"" is spoken before a capital letter is read.",
ZoomText - Screen Reading Features,Speech Settings,Hints - Pitch Change (Capital Letters),,A percentage change to the voice pitch occurs when a capital letter is read. Pitch change ranges from -50% to +50% in steps of 10%.,
ZoomText - Screen Reading Features,Speech Settings,Hints - No hints for links,,No hint is applied when a hypertext link is read.,
ZoomText - Screen Reading Features,Speech Settings,Hints - Change pitch when reading a link,,The synthesizer pitch is changed when a hypertext link is read.,
ZoomText - Screen Reading Features,Speech Settings,"Hints - Say ""Link"" before a link is read",,"The word ""link"" is spoken when a hypertext link is read.",
ZoomText - Screen Reading Features,Speech Settings,Hints - Pitch Change (Hypertext Links),,A percentage change to the voice pitch occurs when a hypertext link is read. Pitch change ranges from -50% to +50% in steps of 10%.,
ZoomText - Screen Reading Features,Speech Settings,"Hints - Say ""Beginning of document"" and ""End of document""",,"The words ""beginning of document"" and ""end of document"" are spoken when navigating to the beginning or end of a document in AppReader and DocReader.",
ZoomText - Screen Reading Features,Echo Settings,Typing Echo Tab - No Echo,,Turns off typing echo.,
ZoomText - Screen Reading Features,Echo Settings,Typing Echo Tab - Keys,,Activates typing echo by keystroke. You can select which keys are echoed using the settings under Echo these keys when they are pressed.,
ZoomText - Screen Reading Features,Echo Settings,Typing Echo Tab - Words,,Activates typing echo by word. Echoing occurs only when a completed word appears on the screen.,
ZoomText - Screen Reading Features,Echo Settings,Typing Echo Tab - Keys and Words,,Activates typing echo by keystroke and by word.,
ZoomText - Screen Reading Features,Echo Settings,Typing Echo Tab - Printable Keys,,"Echoes all printable characters: letters, numbers and symbols",
ZoomText - Screen Reading Features,Echo Settings,Mouse Echo Tab - No Echo,,Turns off mouse echo.,
ZoomText - Screen Reading Features,Echo Settings,Mouse Echo Tab - Instant Echo,,Enables instant mouse echo. Words are spoken immediately when the mouse pointer is moved over them.,
ZoomText - Screen Reading Features,Echo Settings,Mouse Echo Tab - Hover Echo,,nables delayed mouse echo. Words are spoken after the mouse pointer hovers over them for the selected hover time.,
ZoomText - Screen Reading Features,Echo Settings,Mouse Echo Tab - Hover Time (seconds) ,,The amount of time in seconds that the mouse pointer must hover over an object before it is spoken. This setting applies to Hover Echo only.,
ZoomText - Screen Reading Features,Echo Settings,Mouse Echo Tab - Echo the word only,,Only the word beneath the mouse pointer is echoed.,
ZoomText - Screen Reading Features,Echo Settings,Mouse Echo Tab - Echo all words in the line or object,,"When the mouse pointer moves into a new line of text or over a new object, all words in the line or object are spoken. Objects include: title bars, menu items, dialog controls, desktop icons and task bar buttons.",
ZoomText - Screen Reading Features,Echo Settings,Program Echo Tab - Text Cursor,,"When the text cursor moves, text at the new cursor location is spoken. The amount of text that is spoken is in accordance with how far the cursor has moved (by character, word, line, sentence or paragraph).",
ZoomText - Screen Reading Features,Echo Settings,Program Echo Tab -Menus,,"When you pull down a menu, its title is spoken followed by each menu item that becomes highlighted.",
ZoomText - Screen Reading Features,Echo Settings,Program Echo Tab -Controls,,"As you navigate through dialog boxes, tree views and list views, each item is spoken as it becomes highlighted or selected.",
ZoomText - Screen Reading Features,Echo Settings,Program Echo Tab -Tool Tips,,"When a tool tip appears, it is spoken.",
ZoomText - Screen Reading Features,Echo Settings,Program Echo Tab -Window Titles,,"When a window becomes active, the contents of its title bar are spoken.",
ZoomText - Screen Reading Features,Echo Settings,Program Echo Tab -Alerts,,"When a popup appears, it is spoken.",
ZoomText - Screen Reading Features,Echo Settings,Program Echo Tab -Echo the word at the cursor,,"When the text cursor moves to a new line, the word at the new cursor location is spoken.",
ZoomText - Screen Reading Features,Echo Settings,Program Echo Tab -Echo the entire line,,"When the text cursor moves to a new line, the entire line is spoken.",
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Beginner,,Selects beginner level verbosity settings. Displayed text is spoken along with complete details about the object.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Intermediate,,Selects intermediate level verbosity settings. Displayed text is spoken along with basic details about the object.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Expert,,Selects expert level verbosity settings. Displayed text is spoken along with minimal details about the object.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Verbosity Settings,,A list of checkboxes that define the verbosity levels. The displayed settings reflect the current verbosity level and automatically update when a different verbosity level is selected.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Select All,,Checks all items in the Verbosity Settings listbox.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Unselect All,,Un-checks all items in the Verbosity Settings listbox.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Alerts,,Announces the text within alerts when they are displayed.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Cell Comment *,,Announces the comments associated with the active cell in a spreadsheet.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Cell Contents,,Announces the contents of the active cell in a spreadsheet., 
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Cell Formula,,Announces the formula for the active cell in a spreadsheet.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Cell Name,,"Announces the name of the active cell in a spreadsheet, such as ""A1.""", 
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Cell Row Title *,,Announces the row title of the active cell in a spreadsheet.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Control Accelerator,,Announces the accelerator key for the active control (the underlined character in the control's label).,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Control Name,,Announces the name of the active control.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Control State,,"Announces the state of the active control, such as ""checked"" and ""disabled.""",
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Control Type,,"Announces the type of the active control, such as ""button"" or ""checkbox.""",
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Control Value,,"Announces the current value of the active control, such as the number displayed in a spinbox, or text in an edit box.", 
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Dialog Tab,,Announces the title of the active dialog tab., 
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Group Name,,"Announces the name of a control group when it receives focus. By default, the group name is only announced when navigating into the group, and not repeated while navigating within the group. To have the group name repeated while navigating within the group, select (check) the Repeat Group Name verbosity setting.", 
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Item Number,,"Announces the item number of the selected item in a list control, and the total number of items in the list. For example, ""item 5 of 10.""", 
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Item State,,"Announces the item state of the selected item in a list control, such as ""checked"" or ""grayed.""", 
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - List View Labels,,Announces the data field names for the selected item in a list view control. This information is not spoken when List View Data (verbosity setting) is disabled.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - List View Data,,Announces the data for a selected item in a list view control.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Menu Item Accelerator,,Announces the accelerator key for the selected menu item (the underlined character in the menu item name).,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Menu Open,,"Announces the opening of a menu, such as ""File menu open.""",
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Menu Item Shortcut,,"Announces the shortcut key for a menu item, such as ""Ctrl + S.""",
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Menu Item State,,"Announces the state of a menu item, such as ""checked"" and/or ""disabled"".",
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Message Text,,Announces the text of a message box when opened.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Repeat Group Name,,Repeats a control groups name while navigating to a new control within the group.,
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Sheet Tab *,,Announces the name of a spreadsheet tab when initially selected., 
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Table Entry,,Announces table entry and exit., 
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Tool Tips,,Announces the text within tool tips when they are displayed., 
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Tree Level,,"Announces changes in tree level (such as ""level 3"") when navigating a file tree in Windows Explorer and other applications.", 
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Window Title,,Announces the title of a window when it is activated., 
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - Window Type,,"Announces the type of a window when it is activated. For example: ""application window"" or ""dialog window.""", 
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - ZoomText Hotkey,,Announces the command initiated by a ZoomText hotkey when the hotkey is pressed., 
ZoomText - Screen Reading Features,Echo Settings,Verbosity Tab - ZoomText Setting,,Announces the new value of a ZoomText setting when it is changed by a hotkey., 
ZoomText - Screen Reading Features,Reading Tools,AppReader Tab - Track and highlight words,,Enables tracking and highlighting of words when AppReader is reading.,
ZoomText - Screen Reading Features,Reading Tools,AppReader Tab - Exit AppReader at end of document,,"When enabled, AppReader will automatically exit after reading to the end of the document.",
ZoomText - Screen Reading Features,Reading Tools,AppReader Tab - Shape,,"Sets the shape used to highlight words: Block, Underline, Frame, or Wedge.",
ZoomText - Screen Reading Features,Reading Tools,AppReader Tab - Color,,Sets the highlight color.,
ZoomText - Screen Reading Features,Reading Tools,AppReader Tab - Thickness,,Sets the thickness of the highlight shape.,
ZoomText - Screen Reading Features,Reading Tools,AppReader Tab - Transparency,,Sets the transparency of the highlight.,
ZoomText - Screen Reading Features,Reading Tools,AppReader Tab - Preview,,Displays sample text with a preview of the selected highlight settings.,
ZoomText - Screen Reading Features,Reading Tools,DocReader toobar - Play/Pause  ,," Starts and stops reading at the highlighted word. When Play mode is executed, the Pause button appears on the toolbar. Shortcut Key: ENTER",
ZoomText - Screen Reading Features,Reading Tools,DocReader toolbar  - Rate,,"Controls how fast DocReader speaks – in words per minute (SAPI 4 synthesizers) or in percentage of the synthesizer's range (SAPI 5 synthesizers). This setting also controls the reading rate for AppReader.

Hotkeys:
Increase speed: CTRL + NUMPAD PLUS
Decrease speed: CTRL + NUMPAD MINUS ",
ZoomText - Screen Reading Features,Reading Tools,DocReader toolbar  - Power,," Sets the magnification level used by DocReader, from 1x to 36x in steps of 1x.

Hotkeys:
Increase magnification: ALT + NUMPAD PLUS
Decrease magnification: ALT + NUMPAD MINUS",
ZoomText - Screen Reading Features,Reading Tools,DocReader toolbar  - Ticker,,"Displays a single line of text, with a 1x view of the captured document. When reading, text scrolls horizontally like a ticker tape.

Shortcut Key: T",
ZoomText - Screen Reading Features,Reading Tools,DocReader toolbar  - Prompter,,"Displays multiple wrapped lines of text that do not exceed the width of the DocReader screen. When reading, text scrolls vertically like a teleprompter.

Shortcut Key: P",
ZoomText - Screen Reading Features,Reading Tools,DocReader toolbar  - Settings,,"Opens the Reading dialog box to change the DocReader settings.

Shortcut Key: E",
ZoomText - Screen Reading Features,Reading Tools,DocReader toolbar  - Speech,,"Opens the Speech dialog box to change the speech settings.

Shortcut Key: S",
ZoomText - Screen Reading Features,Reading Tools,DocReader toolbar  - Exit,," Exits DocReader and activates the source application. The application's cursor (if exists) is positioned at the last spoken word.

Shortcut Keys: X or ESC",
ZoomText - Screen Reading Features,Reading Tools,DocReader Settings - Use fonts and styles from the captured document ,,"When selected, the font types and styles used in the captured document are preserved.",
ZoomText - Screen Reading Features,Reading Tools,DocReader Settings - Font ,,"Sets the font type that the captured document will be displayed in, such as Arial, Tahoma, or Verdana.",
ZoomText - Screen Reading Features,Reading Tools,DocReader Settings - Style ,,"Sets the font style that the captured document will be displayed in, such as Regular, Bold or Italic.",
ZoomText - Screen Reading Features,Reading Tools,DocReader Settings - Use colors from captured document ,,"When selected, text colors used in the captured document are preserved.",
ZoomText - Screen Reading Features,Reading Tools,DocReader Settings - Text ,,Selects the text color that the captured document will be displayed in. The text and background cannot be set to the same color.,
ZoomText - Screen Reading Features,Reading Tools,DocReader Settings - Background ,,Selects the background color for the DocReader screen. The text and background cannot be set to the same color.,
ZoomText - Screen Reading Features,Reading Tools,DocReader Settings - Shape,,"Selects the shape used for word highlighting: Block, Underline, Frame, or Wedge.",
ZoomText - Screen Reading Features,Reading Tools,DocReader Settings - Color,,Sets the color of the word highlight.  ,
ZoomText - Screen Reading Features,Reading Tools,DocReader Settings - Thickness,,Sets the thickness of the word highlight.,
ZoomText - Screen Reading Features,Reading Tools,DocReader Settings - Transparency ,,Sets the transparency of the word highlight.,
ZoomText - Screen Reading Features,Reading Tools,DocReader Settings - Preview,,"Displays sample text using the selected font, color and highlight settings.",
ZoomText - Screen Reading Features,Reading Tools,Reading Options Settings - Use screen reading speech rate,,"When selected, AppReader and DocReader reading rate are set by the Rate setting in the Speech dialog (Synthesizer tab).",
ZoomText - Screen Reading Features,Reading Tools,Reading Options Settings - Rate,,Controls the reading rate for AppReader and DocReader in words per minute (ranges vary with speech synthesizers).,
ZoomText - Screen Reading Features,Reading Tools,Reading Options Settings - AppReader,,"Sets the tracking type for AppReader: Edge, Center or Jump Ahead. With Edge alignment, the zoom window only scrolls as needed to keep the highlighted word in view. With Center alignment, the zoom window scrolls as needed to keep the highlighted word in the center of the zoom window. With Jump Ahead, when the highlighted word exits the magnified view, the zoom window scrolls to bring the highlighted word to the upper left corner.",
ZoomText - Screen Reading Features,Reading Tools,Reading Options Settings - DocReader,,"Sets the tracking type for DocReader: Edge, Center or Jump Ahead. With Edge alignment, DocReader scrolls as needed to keep the highlighted word in view. With Center alignment, DocReader scrolls as needed to keep the highlighted word in the center of the zoom window. With Jump Ahead, when the highlighted word exits the view, DocReader scrolls to bring the highlighted word to the upper left corner.",
ZoomText - Screen Reading Features,Reading Tools,Reading Options Settings - Show paragraph marks,,Displays paragraph marks where paragraphs end in the source document.,
ZoomText - Screen Reading Features,Reading Tools,Reading Options Settings - Show line break marks,,Displays end of line marks where bulleted and numbered list items end in the source document.,
ZoomText - Screen Reading Features,Reading Tools,Reading Options Settings - Show indent marks,,Displays indent marks where indents occur in the source document.,
ZoomText - Screen Reading Features,Reading Tools,Reading Options Settings - Show space marks,,"Displays space marks where extended space, such as tabs, occur in the source document.",
ZoomText - Screen Reading Features,Reading Tools,Reading Options Settings - Show end of cell marks,,Displays end of cell marks where text ends in each table cell.,
ZoomText - Screen Reading Features,Reading Tools,Reading Options Settings - Show end of frame marks,,Displays end of frame marks where text ends in a web page frame.,
ZoomText - Screen Reading Features,Reading Tools,Reading Options Settings - Underline links,,"When selected, hypertext links are underlined in the Prompter and Ticker view.",
ZoomText - Magnification Features,Magnifier Toolbar,Power,,Sets the magnification level from 1x to 36x.,
ZoomText - Magnification Features,Magnifier Toolbar,Type,,"Sets the zoom window type: Full, Overlay, Lens, Line or one of four Docked types. Each of these windows offers a unique way of viewing what is on the screen, accommodating different tasks and application environments.",
ZoomText - Magnification Features,Magnifier Toolbar,Color ,,Selects color enhancement settings. Color enhancements improve screen clarity for easier viewing and reduced eyestrain. You can choose from a variety of preset color schemes or configure your own custom color settings.,
ZoomText - Magnification Features,Magnifier Toolbar,Pointer ,,Selects mouse pointer enhancement settings. Pointer enhancements make it easy to locate and follow the mouse pointer. You can choose from a variety of preset pointer enhancement schemes or configure your own custom pointer enhancements.,
ZoomText - Magnification Features,Magnifier Toolbar,Cursor ,,Selects cursor enhancement settings. Cursor enhancements make it easy to locate and follow the text cursor.   You can choose from a variety of preset cursor enhancement schemes or configure your own custom cursor enhancements.,
ZoomText - Magnification Features,Magnifier Toolbar,Focus,,"Selects focus enhancement settings. Focus enhancements make it easy to locate and follow the control focus when you tab and arrow key through menus, dialogs and other application controls.   You can choose from a variety of preset focus enhancement schemes or configure your own custom focus enhancements.",
ZoomText - Magnification Features,Magnifier Toolbar,Desktop ,,"Activates the Desktop Finder. The Desktop Finder helps you find and launch programs on the desktop, system tray and quick launch bar. In addition, the Desktop Finder also helps you find and open items in the Control Panel, Programs menu and My Documents folder.",
ZoomText - Magnification Features,Magnifier Toolbar,Web,,"Web Finder helps you search, skim, navigate and read webpages for topics of interest.",
ZoomText - Magnification Features,Magnifier Toolbar,Text  ,,Activates the Text Finder. The Text Finder helps you locate words or phrases within the active application window or anywhere on the entire screen.,
ZoomText - Magnification Features,Magnifier Toolbar,Magnification Tab - Power,,"Sets the magnification level. Magnification levels include: 1x to 8x in steps of 1, 10x to 16x in steps of 2, 20x to 36x in steps of 4, and fractional powers of 1.25x, 1.5x, 1.75x and 2.5x.",
ZoomText - Magnification Features,Magnifier Toolbar,Magnification Tab - Display whole powers only,,Excludes fractional magnification levels from the Power spinbox.,
ZoomText - Magnification Features,Mouse Wheel Zooming,Magnification Tab - Enable wheel zooming,,Enables use of the mouse wheel to change the magnification level.,
ZoomText - Magnification Features,Mouse Wheel Zooming,Magnification Tab - Modifier Keys,,Selects the key combination to be used for mouse wheel zooming. The selected keys must be held down while rotating the mouse wheel in order to change the magnification level.,
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Full,,Displays a zoom window that occupies the entire screen.,
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Overlay,,Displays a zoom window that lies on top of the normal screen and can be sized and moved to occupy any area.,
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Lens,,"Displays a zoom window that moves over the normal screen like a magnifying glass, displaying what is directly beneath it. The lens automatically follows as you move the mouse pointer, type text and navigate through your programs.",
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Line,,"Displays a zoom window that moves up and down the screen like a magnifying ruler, displaying what is directly beneath it. The line automatically follows as you move the mouse pointer, type text and navigate through your programs.",
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Docked Top,,Displays a zoom window that occupies the top half of the screen. The height of the zoom window can be adjusted to occupy a larger or smaller portion of the screen.,
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Docked Bottom,,Displays a zoom window that occupies the bottom half of the screen. The height of the zoom window can be adjusted to occupy a larger or smaller portion of the screen.,
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Docked Left,,Displays a zoom window that occupies the left side of the screen. The width of the zoom window can be adjusted to occupy a larger or smaller portion of the screen.,
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Docked Right,,Displays a zoom window that occupies the right half of the screen. The width of the zoom window can be adjusted to occupy a larger or smaller portion of the screen.,
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Set Line window height to cursor height,,"As the text cursor moves through larger or smaller text, the height of the Line window increases or decreases, so that only the current line of text is displayed.",
ZoomText - Magnification Features,Freeze Window,Freeze Window Tab - Enable freeze window,,Enables the Freeze window (when the zoom window type is set to Full).,
ZoomText - Magnification Features,Freeze Window,Freeze Window Tab - Use full zoom magnification level,,Sets the Freeze window to use the same magnification level as the Full zoom window.,
ZoomText - Magnification Features,Freeze Window,Freeze Window Tab - Use the magnification level below,,Allows the Freeze window to use its own magnification level (set using the Power spinbox).,
ZoomText - Magnification Features,Freeze Window,Freeze Window Tab - Power,,"Sets the Freeze window's magnification level. Magnification levels include: 1x to 8x in steps of 1, 10x to 16x in steps of 2, 20x to 36x in steps of 4x, and fractional powers of 1.25x, 1.5x, 1.75x and 2.5x.",
ZoomText - Magnification Features,Freeze Window,Freeze Window Tab - New Freeze Window,,Activates the Freeze Tool.,
ZoomText - Magnification Features,Using View Mode and the View Locator,View Locator Tab - Enable view locator,,Enables the display of the view locator.,
ZoomText - Magnification Features,Using View Mode and the View Locator,View Locator Tab - Locator Type,,"Selects the type of view locator that is displayed: Block, Inverted Block, Frame or Cross.",
ZoomText - Magnification Features,Using View Mode and the View Locator,View Locator Tab - Color,,Selects the color that the view locator will appear in.,
ZoomText - Magnification Features,Using View Mode and the View Locator,View Locator Tab - Transparency,,Sets the level of transparency for the view locator. The transparency level controls the amount of the desktop image that is visible through the view locator.,
